student1_id,student2_id,student1_wins,student2_wins,num_ties,student1_stack,student2_stack
b10902003,b11701242,2,3,0,4242,5758
b11505050,b11902107,4,1,0,5909,4091
b10902108,b10902027,4,1,0,6846.69012,3149.0
b11902043,b10902048,4,1,0,6553.2164770870495,3438.8659083482
b11705022,b10902039,0,5,0,3887.4449461518548,6110.841959449937
b11902044,b08705058,1,4,0,1795,8205
b11505050,b10202024,4,1,0,6925.0,3072.0
b11705022,b09605039,0,5,0,4215.624904682086,5758.3124301959915
b09902018,b08501002,1,4,0,2632,7368
b10202063,b11902155,4,1,0,5153,4847
b11705048,b10902126,2,1,2,5840,4160
b10502010,b10902057,2,3,0,3845.0,6155
b10902076,b10902125,0,5,0,875.0796743299669,9123.0
b11902010,b10902132,2,3,0,4000.0,6000.0
b09701214,b11902107,1,4,0,3524,6476.0
b10902075,b10902125,5,0,0,8969.875480467115,1022.0
b11705022,b11901016,0,5,0,4675.020300805569,5324
b10202024,b09701214,2,3,0,3367,6633
b10902061,b10502058,4,1,0,4821.5944112,5174.317903827428
b10902068,b10902073,1,4,0,4339.42176,5656.0
b10502010,b06401151,1,4,0,4043.75,5950.0
b11902069,b11705048,2,0,3,5015,4985
b10902040,b10201051,5,0,0,5233.541945938425,4761
b11902143,b10902100,4,1,0,5825,4175
b10902074,b11902158,2,3,0,3815,6183.0
b11705022,b10902014,0,5,0,4494.926336840467,5503.0
b10902015,b09901028,5,0,0,6158,3842
b10202024,b10902139,3,2,0,6772.6,3226.2
b10902051,b11902009,2,3,0,4774.683309962913,5213.156999999999
b10902021,b10902035,3,2,0,4884.5,5113.5
b10902042,b09208022,3,2,0,5842.0,4155.0
b11902067,b06401151,0,5,0,3923,6077
b09901142,b10902074,3,2,0,6230,3763
b10902074,b10902054,4,1,0,6497.0,3503.0
b09502074,b11705011,2,3,0,2951,7049
b11705022,b10902002,0,5,0,3717.333145439625,6279.110860586166
b10902072,b10902082,5,0,0,9991.276725769043,0
b10902061,b10902063,0,5,0,3678.0,6310.776927778675
