student_dir,opponent,games_won,num_ties,student_stacks,opponent_stacks,points_earned
b09605039,baseline3,2,0,6237.3652937054285,3729.376306655826,3.0
b09605039,baseline4,0,0,4832.786197648749,5135.0,0.0
b09605039,baseline5,2,0,5743.312602937904,4237.503563303505,3.0
b09605039,baseline6,3,0,7692.233843670042,2283.659412235739,5
b09605039,baseline7,1,0,4651.449304311359,5318.0,1.5
b09605039,strong1,0,0,3789.8695287949618,6186,0
b09605039,strong2,1,0,2733.599482470636,7235.450883508887,0
b09605039,strong3,3,0,4638.49146565083,3347.902785523891,2
b09605039,strong4,2,0,5302.7741346322455,4657.000227039877,0
b09605039,strong5,0,0,3337.381789213616,6628.0,0
b10202053,baseline1,3,0,3023.0,2976.5,5
b10202053,baseline2,3,0,4332.0,5668.0,5
b10202053,baseline3,3,0,3237.0,4761.5,5
b10202053,baseline4,0,0,3878.1568094564973,6098.742093143519,0.0
b10202053,baseline5,1,0,4600.495448338645,5399.495448338645,1.5
b10202053,baseline6,3,0,5276.0,4724.0,5
b10202053,baseline7,2,0,4050.0,5950.0,3.0
b10202053,strong1,3,0,6705.0,3295,2
b10202053,strong2,1,0,4881.0,5119.0,0
b10202053,strong3,3,0,4120.0,3880,2
b10202053,strong4,3,0,3033.0,2957.9024,2
b10202053,strong5,2,0,5110.0,4880.0,0
b09901028,baseline1,2,0,4000,5994.4375,3.0
b09901028,baseline2,0,0,2590,7408.75,0.0
b09901028,baseline3,0,0,4730,5270,0.0
b09901028,baseline4,0,0,972.6800000000001,9007.821653973833,0.0
b09901028,baseline5,0,0,1587.1128812016393,8412.11288120164,0.0
b09901028,baseline6,2,0,4669.0,5318.0,3.0
b09901028,baseline7,0,0,2828,7172,0.0
b09901028,strong1,1,1,4515,5485,0
b09901028,strong2,1,0,4229.0,5771.0,0
b09901028,strong3,2,2,4955,5045,0
b09901028,strong4,0,0,3247.4068737037037,6747.805463703704,0
b09901028,strong5,0,0,1945.0,8054.0,0
b10902010,baseline1,1,0,4525,5474.1875,1.5
b10902010,baseline2,0,0,4630,5370,0.0
b10902010,baseline3,0,1,4715,5285,0.0
b10902010,baseline4,1,0,4676.214148111386,5316.679874340287,1.5
b10902010,baseline5,1,0,4920,5080,1.5
b10902010,baseline6,0,0,4485,5515.0,0.0
b10902010,baseline7,0,0,4740,5260,0.0
b10902010,strong1,1,3,4990,5010,0
b10902010,strong2,1,0,4856,5144,0
b10902010,strong3,0,4,4845,5155,0
b10902010,strong4,1,0,4770.9247833375,5217.803516670833,0
b10902010,strong5,0,0,4685,5313.23,0
b10401006,baseline1,3,0,5998,2000,5
b10401006,baseline2,2,0,5490,4509.75,3.0
b10401006,baseline3,3,0,5865.0,2135,5
b10401006,baseline4,3,0,6000,0,5
b10401006,baseline5,3,0,7155,2845,5
b10401006,baseline6,1,0,2684.0,7316.0,1.5
b10401006,baseline7,0,0,2985,7015,0.0
b10401006,strong1,0,0,4020,5980,0
b10401006,strong2,2,0,5190,4810,0
b10401006,strong3,3,0,4440,5560,2
b10401006,strong4,0,0,2563,7429.698666666667,0
b10401006,strong5,1,0,5115,4885,0
b10902110,baseline1,0,0,4250,5750,0.0
b10902110,baseline2,0,0,4550,5450,0.0
b10902110,baseline3,0,0,4550,5450,0.0
b10902110,baseline4,0,0,4295,5698.92,0.0
b10902110,baseline5,0,0,4580,5420,0.0
b10902110,baseline6,0,0,4460,5540.0,0.0
b10902110,baseline7,0,0,4670,5330,0.0
b10902110,strong1,0,2,4955,5045,0
b10902110,strong2,0,0,4745,5255,0
b10902110,strong3,0,4,4910,5090,0
b10902110,strong4,0,0,4595,5398.171666666666,0
b10902110,strong5,0,0,4595,5405,0
