name: baseline1, hole_card: ['HT', 'DJ']
name: t12902103, hole_card: ['D8', 'HA']
community cards of this round: ['SJ', 'D7', 'DA', 'HJ', 'S9']
name: baseline1, hole_card: ['DT', 'D4']
name: t12902103, hole_card: ['H5', 'H3']
name: baseline1, hole_card: ['DT', 'D4']
name: t12902103, hole_card: ['H5', 'H3']
community cards of this round: ['CA', 'HK', 'D3', 'CK', 'D2']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
community cards of this round: ['H2', 'S3', 'SJ', 'D7', 'S8']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'CJ']
name: t12902103, hole_card: ['DK', 'C6']
community cards of this round: ['C8', 'DQ', 'SJ', 'S9', 'HJ']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
name: baseline1, hole_card: ['HT', 'D5']
name: t12902103, hole_card: ['DA', 'D2']
community cards of this round: ['H7', 'CK', 'H4', 'DA', 'S2']
name: baseline1, hole_card: ['D8', 'SK']
name: t12902103, hole_card: ['SJ', 'D2']
name: baseline1, hole_card: ['D8', 'SK']
name: t12902103, hole_card: ['SJ', 'D2']
community cards of this round: ['DA', 'H6', 'H7', 'D2', 'HA']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
name: baseline1, hole_card: ['C4', 'SK']
name: t12902103, hole_card: ['D6', 'CK']
community cards of this round: ['CQ', 'S5', 'C9', 'S4', 'H2']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
