name: b10705044, hole_card: ['HT', 'H5']
name: baseline1, hole_card: ['ST', 'DJ']
name: b10705044, hole_card: ['HT', 'H5']
name: baseline1, hole_card: ['ST', 'DJ']
name: b10705044, hole_card: ['HT', 'H5']
name: baseline1, hole_card: ['ST', 'DJ']
name: b10705044, hole_card: ['HT', 'H5']
name: baseline1, hole_card: ['ST', 'DJ']
name: b10705044, hole_card: ['HT', 'H5']
name: baseline1, hole_card: ['ST', 'DJ']
name: b10705044, hole_card: ['HT', 'H5']
name: baseline1, hole_card: ['ST', 'DJ']
name: b10705044, hole_card: ['HT', 'H5']
community cards of this round: ['S6', 'DA', 'CA', 'C4', 'S9']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
name: baseline1, hole_card: ['C3', 'C9']
name: b10705044, hole_card: ['CT', 'H3']
community cards of this round: ['ST', 'HA', 'SJ', 'H5', 'DK']
name: baseline1, hole_card: ['S8', 'DJ']
name: b10705044, hole_card: ['CT', 'D2']
name: baseline1, hole_card: ['S8', 'DJ']
name: b10705044, hole_card: ['CT', 'D2']
name: baseline1, hole_card: ['S8', 'DJ']
name: b10705044, hole_card: ['CT', 'D2']
name: baseline1, hole_card: ['S8', 'DJ']
name: b10705044, hole_card: ['CT', 'D2']
