name: b10505029, hole_card: ['S8', 'HT']
name: baseline1, hole_card: ['D3', 'C5']
name: b10505029, hole_card: ['S8', 'HT']
name: baseline1, hole_card: ['D3', 'C5']
name: b10505029, hole_card: ['S8', 'HT']
name: baseline1, hole_card: ['D3', 'C5']
name: b10505029, hole_card: ['S8', 'HT']
name: baseline1, hole_card: ['D3', 'C5']
name: b10505029, hole_card: ['S8', 'HT']
name: baseline1, hole_card: ['D3', 'C5']
name: b10505029, hole_card: ['S8', 'HT']
name: baseline1, hole_card: ['D3', 'C5']
name: b10505029, hole_card: ['S8', 'HT']
community cards of this round: ['D3', 'H6', 'HT', 'S2', 'D6']
name: baseline1, hole_card: ['H8', 'D7']
name: b10505029, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['H8', 'D7']
name: b10505029, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['H8', 'D7']
name: b10505029, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['H8', 'D7']
name: b10505029, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['H8', 'D7']
name: b10505029, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['H8', 'D7']
name: b10505029, hole_card: ['SJ', 'S3']
name: baseline1, hole_card: ['H8', 'D7']
name: b10505029, hole_card: ['SJ', 'S3']
community cards of this round: ['H3', 'D4', 'DJ', 'H5', 'H4']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['S4', 'DK']
name: b10505029, hole_card: ['HT', 'C5']
