name: b10902071, hole_card: ['H9', 'CJ']
community cards of this round: ['S4', 'H7', 'H5', 'D3', 'CT']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
community cards of this round: ['C2', 'S6', 'S5', 'D9', 'SA']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902071, hole_card: ['C5', 'H4']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902071, hole_card: ['C5', 'H4']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902071, hole_card: ['C5', 'H4']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902071, hole_card: ['C5', 'H4']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902071, hole_card: ['C5', 'H4']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902071, hole_card: ['C5', 'H4']
b10902071 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'myqpoigjuzrblllwtvazsb', 'stack': 0, 'state': 'folded'}, {'name': 'b10902071', 'uuid': 'eiyutwukocchwfembrnbly', 'stack': 2000.0, 'state': 'participating'}]}
community cards of this round: ['H5', 'ST', 'C5', 'H4', 'C8']
name: b10902071, hole_card: ['D7', 'C9']
name: baseline1, hole_card: ['D6', 'SA']
name: b10902071, hole_card: ['D7', 'C9']
name: baseline1, hole_card: ['D6', 'SA']
name: b10902071, hole_card: ['D7', 'C9']
name: baseline1, hole_card: ['D6', 'SA']
name: b10902071, hole_card: ['D7', 'C9']
name: baseline1, hole_card: ['D6', 'SA']
name: b10902071, hole_card: ['D7', 'C9']
name: baseline1, hole_card: ['D6', 'SA']
community cards of this round: ['H6', 'S7', 'S2', 'DK', 'C5']
name: b10902071, hole_card: ['DT', 'H7']
name: baseline1, hole_card: ['H9', 'H3']
name: b10902071, hole_card: ['DT', 'H7']
name: baseline1, hole_card: ['H9', 'H3']
name: b10902071, hole_card: ['DT', 'H7']
name: baseline1, hole_card: ['H9', 'H3']
name: b10902071, hole_card: ['DT', 'H7']
name: baseline1, hole_card: ['H9', 'H3']
name: b10902071, hole_card: ['DT', 'H7']
name: baseline1, hole_card: ['H9', 'H3']
name: b10902071, hole_card: ['DT', 'H7']
name: baseline1, hole_card: ['H9', 'H3']
name: b10902071, hole_card: ['DT', 'H7']
name: baseline1, hole_card: ['H9', 'H3']
community cards of this round: ['D2', 'H9', 'CK', 'D3', 'SA']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
name: b10902071, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['H2', 'DK']
community cards of this round: ['HA', 'CT', 'C3', 'HK', 'SA']
name: b10902071, hole_card: ['S2', 'C2']
name: baseline1, hole_card: ['CQ', 'H6']
name: b10902071, hole_card: ['S2', 'C2']
name: baseline1, hole_card: ['CQ', 'H6']
community cards of this round: ['HJ', 'HA', 'HQ', 'SK', 'C4']
name: b10902071, hole_card: ['S4', 'CQ']
name: baseline1, hole_card: ['ST', 'S9']
name: b10902071, hole_card: ['S4', 'CQ']
name: baseline1, hole_card: ['ST', 'S9']
name: b10902071, hole_card: ['S4', 'CQ']
name: baseline1, hole_card: ['ST', 'S9']
community cards of this round: ['S9', 'S3', 'C3', 'SQ', 'S7']
name: b10902071, hole_card: ['H5', 'C2']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902071, hole_card: ['H5', 'C2']
name: baseline1, hole_card: ['H8', 'D5']
community cards of this round: ['C5', 'DJ', 'C4', 'SA', 'S5']
name: b10902071, hole_card: ['D9', 'H9']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902071, hole_card: ['D9', 'H9']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902071, hole_card: ['D9', 'H9']
name: baseline1, hole_card: ['DK', 'D8']
community cards of this round: ['D4', 'H8', 'DA', 'C6', 'H9']
name: b10902071, hole_card: ['D3', 'H4']
name: baseline1, hole_card: ['S6', 'S4']
name: b10902071, hole_card: ['D3', 'H4']
name: baseline1, hole_card: ['S6', 'S4']
community cards of this round: ['S7', 'CK', 'C2', 'S9', 'HA']
name: b10902071, hole_card: ['D4', 'DA']
name: baseline1, hole_card: ['C4', 'DJ']
name: b10902071, hole_card: ['D4', 'DA']
name: baseline1, hole_card: ['C4', 'DJ']
name: b10902071, hole_card: ['D4', 'DA']
name: baseline1, hole_card: ['C4', 'DJ']
community cards of this round: ['ST', 'DQ', 'CQ', 'S7', 'DA']
name: b10902071, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H9', 'CJ']
name: b10902071, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H9', 'CJ']
community cards of this round: ['S4', 'H7', 'H5', 'D3', 'CT']
name: b10902071, hole_card: ['D7', 'DQ']
name: baseline1, hole_card: ['C5', 'CA']
name: b10902071, hole_card: ['D7', 'DQ']
name: baseline1, hole_card: ['C5', 'CA']
name: b10902071, hole_card: ['D7', 'DQ']
name: baseline1, hole_card: ['C5', 'CA']
community cards of this round: ['C2', 'S6', 'S5', 'D9', 'SA']
name: b10902071, hole_card: ['CJ', 'D2']
name: baseline1, hole_card: ['C5', 'H4']
name: b10902071, hole_card: ['CJ', 'D2']
name: baseline1, hole_card: ['C5', 'H4']
community cards of this round: ['S9', 'CA', 'H6', 'D8', 'H5']
name: b10902071, hole_card: ['SK', 'H7']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902071, hole_card: ['SK', 'H7']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902071, hole_card: ['SK', 'H7']
name: baseline1, hole_card: ['DT', 'C6']
community cards of this round: ['C3', 'CT', 'H7', 'H5', 'H3']
name: b10902071, hole_card: ['DJ', 'CK']
name: baseline1, hole_card: ['D2', 'HA']
name: b10902071, hole_card: ['DJ', 'CK']
name: baseline1, hole_card: ['D2', 'HA']
community cards of this round: ['H8', 'CQ', 'SJ', 'SK', 'D4']
name: b10902071, hole_card: ['D2', 'HQ']
name: baseline1, hole_card: ['C2', 'C4']
name: b10902071, hole_card: ['D2', 'HQ']
name: baseline1, hole_card: ['C2', 'C4']
name: b10902071, hole_card: ['D2', 'HQ']
name: baseline1, hole_card: ['C2', 'C4']
community cards of this round: ['C3', 'H7', 'H5', 'H9', 'C5']
name: b10902071, hole_card: ['DA', 'C4']
name: baseline1, hole_card: ['H6', 'D9']
name: b10902071, hole_card: ['DA', 'C4']
name: baseline1, hole_card: ['H6', 'D9']
community cards of this round: ['S2', 'C6', 'H3', 'SK', 'CQ']
name: b10902071, hole_card: ['C2', 'H5']
name: baseline1, hole_card: ['HK', 'H9']
name: b10902071, hole_card: ['C2', 'H5']
name: baseline1, hole_card: ['HK', 'H9']
name: b10902071, hole_card: ['C2', 'H5']
name: baseline1, hole_card: ['HK', 'H9']
community cards of this round: ['HQ', 'H3', 'CA', 'D6', 'CT']
name: b10902071, hole_card: ['C2', 'DJ']
name: baseline1, hole_card: ['S5', 'CQ']
name: b10902071, hole_card: ['C2', 'DJ']
name: baseline1, hole_card: ['S5', 'CQ']
community cards of this round: ['CQ', 'C5', 'C8', 'C7', 'DQ']
name: b10902071, hole_card: ['H9', 'HK']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902071, hole_card: ['H9', 'HK']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902071, hole_card: ['H9', 'HK']
name: baseline1, hole_card: ['C6', 'HA']
community cards of this round: ['DK', 'S9', 'SQ', 'H2', 'D6']
name: b10902071, hole_card: ['S7', 'CA']
name: baseline1, hole_card: ['C4', 'CJ']
name: b10902071, hole_card: ['S7', 'CA']
name: baseline1, hole_card: ['C4', 'CJ']
b10902071 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902071', 'uuid': 'sifdcabhaqpzxexecxjuqy', 'stack': 1382.0, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'qxqmnetbcdhpaqqgibemrs', 'stack': 617.5, 'state': 'participating'}]}
community cards of this round: ['D7', 'CT', 'ST', 'C5', 'CA']
name: baseline1, hole_card: ['S6', 'H3']
name: b10902071, hole_card: ['DQ', 'D3']
name: baseline1, hole_card: ['S6', 'H3']
name: b10902071, hole_card: ['DQ', 'D3']
name: baseline1, hole_card: ['S6', 'H3']
name: b10902071, hole_card: ['DQ', 'D3']
name: baseline1, hole_card: ['S6', 'H3']
name: b10902071, hole_card: ['DQ', 'D3']
name: baseline1, hole_card: ['S6', 'H3']
name: b10902071, hole_card: ['DQ', 'D3']
community cards of this round: ['D9', 'S6', 'D4', 'DJ', 'DA']
name: baseline1, hole_card: ['H3', 'H2']
name: b10902071, hole_card: ['D2', 'CQ']
name: baseline1, hole_card: ['H3', 'H2']
name: b10902071, hole_card: ['D2', 'CQ']
name: baseline1, hole_card: ['H3', 'H2']
name: b10902071, hole_card: ['D2', 'CQ']
name: baseline1, hole_card: ['H3', 'H2']
name: b10902071, hole_card: ['D2', 'CQ']
community cards of this round: ['CQ', 'CA', 'H6', 'C2', 'S5']
name: baseline1, hole_card: ['S3', 'H9']
name: b10902071, hole_card: ['C8', 'DT']
name: baseline1, hole_card: ['S3', 'H9']
name: b10902071, hole_card: ['C8', 'DT']
name: baseline1, hole_card: ['S3', 'H9']
name: b10902071, hole_card: ['C8', 'DT']
name: baseline1, hole_card: ['S3', 'H9']
name: b10902071, hole_card: ['C8', 'DT']
name: baseline1, hole_card: ['S3', 'H9']
name: b10902071, hole_card: ['C8', 'DT']
name: baseline1, hole_card: ['S3', 'H9']
name: b10902071, hole_card: ['C8', 'DT']
name: baseline1, hole_card: ['S3', 'H9']
name: b10902071, hole_card: ['C8', 'DT']
