name: b09901028, hole_card: ['D7', 'CQ']
community cards of this round: ['SA', 'DJ', 'CQ', 'DA', 'SJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
name: baseline1, hole_card: ['H4', 'C9']
name: b09901028, hole_card: ['S9', 'HJ']
community cards of this round: ['HA', 'CJ', 'C2', 'HJ', 'DQ']
name: baseline1, hole_card: ['S3', 'H9']
name: b09901028, hole_card: ['C4', 'SA']
name: baseline1, hole_card: ['S3', 'H9']
name: b09901028, hole_card: ['C4', 'SA']
name: baseline1, hole_card: ['S3', 'H9']
name: b09901028, hole_card: ['C4', 'SA']
name: baseline1, hole_card: ['S3', 'H9']
name: b09901028, hole_card: ['C4', 'SA']
community cards of this round: ['CJ', 'S6', 'C7', 'ST', 'H4']
name: baseline1, hole_card: ['H9', 'HJ']
name: b09901028, hole_card: ['SK', 'C9']
name: baseline1, hole_card: ['H9', 'HJ']
name: b09901028, hole_card: ['SK', 'C9']
name: baseline1, hole_card: ['H9', 'HJ']
name: b09901028, hole_card: ['SK', 'C9']
name: baseline1, hole_card: ['H9', 'HJ']
name: b09901028, hole_card: ['SK', 'C9']
name: baseline1, hole_card: ['H9', 'HJ']
name: b09901028, hole_card: ['SK', 'C9']
name: baseline1, hole_card: ['H9', 'HJ']
name: b09901028, hole_card: ['SK', 'C9']
name: baseline1, hole_card: ['H9', 'HJ']
name: b09901028, hole_card: ['SK', 'C9']
b09901028 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'zdbsidrlonwqalxpyscnel', 'stack': 1997.43359375, 'state': 'participating'}, {'name': 'b09901028', 'uuid': 'gtclrchmepevdmryfvasvz', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['C8', 'H6', 'D8', 'D7', 'DQ']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
name: b09901028, hole_card: ['C7', 'H3']
name: baseline1, hole_card: ['C3', 'DK']
community cards of this round: ['SQ', 'C7', 'DT', 'H8', 'CJ']
name: b09901028, hole_card: ['HT', 'DJ']
name: baseline1, hole_card: ['D4', 'C9']
name: b09901028, hole_card: ['HT', 'DJ']
name: baseline1, hole_card: ['D4', 'C9']
b09901028 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b09901028', 'uuid': 'pjiharixsuynzleeozaoac', 'stack': 0, 'state': 'folded'}, {'name': 'baseline1', 'uuid': 'eydbficauvahqwrkwrtkea', 'stack': 2000, 'state': 'participating'}]}
community cards of this round: ['HT', 'D9', 'H5', 'S9', 'ST']
name: baseline1, hole_card: ['H2', 'D7']
name: b09901028, hole_card: ['C6', 'CQ']
name: baseline1, hole_card: ['H2', 'D7']
name: b09901028, hole_card: ['C6', 'CQ']
community cards of this round: ['DJ', 'D5', 'D3', 'CA', 'C2']
name: baseline1, hole_card: ['D4', 'DQ']
name: b09901028, hole_card: ['C4', 'C3']
name: baseline1, hole_card: ['D4', 'DQ']
name: b09901028, hole_card: ['C4', 'C3']
name: baseline1, hole_card: ['D4', 'DQ']
name: b09901028, hole_card: ['C4', 'C3']
community cards of this round: ['H9', 'D6', 'DA', 'H6', 'DK']
name: baseline1, hole_card: ['D3', 'H3']
name: b09901028, hole_card: ['C2', 'H4']
name: baseline1, hole_card: ['D3', 'H3']
name: b09901028, hole_card: ['C2', 'H4']
community cards of this round: ['DA', 'CJ', 'D3', 'H5', 'C6']
name: baseline1, hole_card: ['C5', 'D4']
name: b09901028, hole_card: ['HQ', 'SK']
name: baseline1, hole_card: ['C5', 'D4']
name: b09901028, hole_card: ['HQ', 'SK']
name: baseline1, hole_card: ['C5', 'D4']
name: b09901028, hole_card: ['HQ', 'SK']
community cards of this round: ['C6', 'S4', 'HA', 'S9', 'SJ']
name: baseline1, hole_card: ['DQ', 'CT']
name: b09901028, hole_card: ['D2', 'HJ']
name: baseline1, hole_card: ['DQ', 'CT']
name: b09901028, hole_card: ['D2', 'HJ']
community cards of this round: ['CA', 'SQ', 'S9', 'H8', 'D6']
name: baseline1, hole_card: ['D4', 'HK']
name: b09901028, hole_card: ['DT', 'D9']
name: baseline1, hole_card: ['D4', 'HK']
name: b09901028, hole_card: ['DT', 'D9']
name: baseline1, hole_card: ['D4', 'HK']
name: b09901028, hole_card: ['DT', 'D9']
community cards of this round: ['C5', 'H4', 'HA', 'S2', 'D3']
name: baseline1, hole_card: ['SK', 'DK']
name: b09901028, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['SK', 'DK']
name: b09901028, hole_card: ['SQ', 'D2']
community cards of this round: ['H8', 'SA', 'D9', 'S6', 'C8']
name: baseline1, hole_card: ['S9', 'H4']
name: b09901028, hole_card: ['S7', 'H3']
name: baseline1, hole_card: ['S9', 'H4']
name: b09901028, hole_card: ['S7', 'H3']
name: baseline1, hole_card: ['S9', 'H4']
name: b09901028, hole_card: ['S7', 'H3']
community cards of this round: ['S5', 'ST', 'SK', 'CK', 'H5']
name: baseline1, hole_card: ['H6', 'D8']
name: b09901028, hole_card: ['HA', 'D7']
name: baseline1, hole_card: ['H6', 'D8']
name: b09901028, hole_card: ['HA', 'D7']
community cards of this round: ['HT', 'D7', 'CJ', 'S9', 'C4']
name: baseline1, hole_card: ['D5', 'C9']
name: b09901028, hole_card: ['DA', 'H7']
name: baseline1, hole_card: ['D5', 'C9']
name: b09901028, hole_card: ['DA', 'H7']
name: baseline1, hole_card: ['D5', 'C9']
name: b09901028, hole_card: ['DA', 'H7']
community cards of this round: ['S9', 'D9', 'C5', 'C8', 'S6']
name: baseline1, hole_card: ['HK', 'C4']
name: b09901028, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HK', 'C4']
