name: b10902063, hole_card: ['D7', 'D9']
name: baseline1, hole_card: ['D5', 'D6']
name: b10902063, hole_card: ['D7', 'D9']
name: baseline1, hole_card: ['D5', 'D6']
community cards of this round: ['S6', 'D7', 'H3', 'CJ', 'D3']
name: b10902063, hole_card: ['HA', 'DK']
name: baseline1, hole_card: ['S5', 'D9']
name: b10902063, hole_card: ['HA', 'DK']
name: baseline1, hole_card: ['S5', 'D9']
name: b10902063, hole_card: ['HA', 'DK']
name: baseline1, hole_card: ['S5', 'D9']
community cards of this round: ['S4', 'H4', 'C6', 'H3', 'C8']
name: b10902063, hole_card: ['C5', 'H8']
name: baseline1, hole_card: ['H7', 'H6']
name: b10902063, hole_card: ['C5', 'H8']
name: baseline1, hole_card: ['H7', 'H6']
community cards of this round: ['H2', 'HT', 'H7', 'CT', 'ST']
name: b10902063, hole_card: ['D2', 'D5']
name: baseline1, hole_card: ['D6', 'S3']
name: b10902063, hole_card: ['D2', 'D5']
name: baseline1, hole_card: ['D6', 'S3']
name: b10902063, hole_card: ['D2', 'D5']
name: baseline1, hole_card: ['D6', 'S3']
community cards of this round: ['DT', 'CK', 'SA', 'H7', 'C9']
name: b10902063, hole_card: ['D2', 'D7']
name: baseline1, hole_card: ['S2', 'ST']
name: b10902063, hole_card: ['D2', 'D7']
name: baseline1, hole_card: ['S2', 'ST']
community cards of this round: ['D5', 'S3', 'DQ', 'H7', 'CT']
name: b10902063, hole_card: ['HK', 'CQ']
name: baseline1, hole_card: ['D2', 'H6']
name: b10902063, hole_card: ['HK', 'CQ']
name: baseline1, hole_card: ['D2', 'H6']
name: b10902063, hole_card: ['HK', 'CQ']
name: baseline1, hole_card: ['D2', 'H6']
community cards of this round: ['CA', 'S4', 'CJ', 'S8', 'SJ']
name: b10902063, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CK', 'S6']
name: b10902063, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CK', 'S6']
community cards of this round: ['DA', 'S2', 'HJ', 'C6', 'SK']
name: b10902063, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['H5', 'D3']
name: b10902063, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['H5', 'D3']
name: b10902063, hole_card: ['C5', 'CQ']
name: baseline1, hole_card: ['H5', 'D3']
community cards of this round: ['CK', 'C4', 'C6', 'CA', 'CT']
name: b10902063, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['H3', 'HQ']
name: b10902063, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['H3', 'HQ']
community cards of this round: ['D6', 'S6', 'D5', 'C7', 'H3']
name: b10902063, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['S4', 'D3']
name: b10902063, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['S4', 'D3']
name: b10902063, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['S4', 'D3']
community cards of this round: ['DQ', 'SK', 'S5', 'H8', 'D7']
name: b10902063, hole_card: ['H6', 'C3']
name: baseline1, hole_card: ['CQ', 'CJ']
name: b10902063, hole_card: ['H6', 'C3']
name: baseline1, hole_card: ['CQ', 'CJ']
community cards of this round: ['HT', 'DT', 'S9', 'CJ', 'H6']
name: b10902063, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H3', 'H2']
name: b10902063, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H3', 'H2']
name: b10902063, hole_card: ['DJ', 'S6']
name: baseline1, hole_card: ['H3', 'H2']
community cards of this round: ['ST', 'DJ', 'S3', 'C6', 'HA']
name: b10902063, hole_card: ['D7', 'D4']
name: baseline1, hole_card: ['C4', 'S7']
name: b10902063, hole_card: ['D7', 'D4']
name: baseline1, hole_card: ['C4', 'S7']
community cards of this round: ['SA', 'S4', 'CK', 'SK', 'C8']
name: b10902063, hole_card: ['S9', 'HT']
name: baseline1, hole_card: ['S3', 'S2']
name: b10902063, hole_card: ['S9', 'HT']
name: baseline1, hole_card: ['S3', 'S2']
name: b10902063, hole_card: ['S9', 'HT']
name: baseline1, hole_card: ['S3', 'S2']
community cards of this round: ['SJ', 'SQ', 'H8', 'DA', 'H4']
name: b10902063, hole_card: ['S7', 'D3']
name: baseline1, hole_card: ['S2', 'D7']
name: b10902063, hole_card: ['S7', 'D3']
name: baseline1, hole_card: ['S2', 'D7']
community cards of this round: ['C9', 'CT', 'SJ', 'S5', 'CQ']
name: b10902063, hole_card: ['C5', 'SA']
name: baseline1, hole_card: ['H2', 'S3']
name: b10902063, hole_card: ['C5', 'SA']
name: baseline1, hole_card: ['H2', 'S3']
name: b10902063, hole_card: ['C5', 'SA']
name: baseline1, hole_card: ['H2', 'S3']
community cards of this round: ['S8', 'C6', 'DA', 'D4', 'H8']
name: b10902063, hole_card: ['S7', 'CK']
name: baseline1, hole_card: ['SQ', 'HA']
name: b10902063, hole_card: ['S7', 'CK']
name: baseline1, hole_card: ['SQ', 'HA']
b10902063 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902063', 'uuid': 'ryhrfiknvfuejbmnwfjqja', 'stack': 1052.7025, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'zlqkmffsthigfbwpejisxt', 'stack': 946.7025000000001, 'state': 'participating'}]}
community cards of this round: ['C7', 'CK', 'D8', 'H9', 'DQ']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
name: baseline1, hole_card: ['H8', 'HJ']
name: b10902063, hole_card: ['C4', 'D3']
community cards of this round: ['D2', 'HQ', 'SQ', 'SJ', 'CJ']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
name: baseline1, hole_card: ['H3', 'C3']
name: b10902063, hole_card: ['CT', 'C7']
community cards of this round: ['SQ', 'HK', 'D2', 'C5', 'D8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
name: baseline1, hole_card: ['S6', 'SJ']
name: b10902063, hole_card: ['DK', 'S8']
community cards of this round: ['C4', 'C5', 'HK', 'SQ', 'SK']
name: baseline1, hole_card: ['D8', 'H5']
name: b10902063, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['D8', 'H5']
name: b10902063, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['D8', 'H5']
name: b10902063, hole_card: ['H6', 'C8']
community cards of this round: ['CK', 'H3', 'HJ', 'H6', 'S7']
name: baseline1, hole_card: ['S5', 'H2']
name: b10902063, hole_card: ['H4', 'C9']
name: baseline1, hole_card: ['S5', 'H2']
name: b10902063, hole_card: ['H4', 'C9']
community cards of this round: ['S6', 'C7', 'D2', 'D6', 'SK']
name: baseline1, hole_card: ['H9', 'CA']
name: b10902063, hole_card: ['C4', 'S3']
name: baseline1, hole_card: ['H9', 'CA']
name: b10902063, hole_card: ['C4', 'S3']
name: baseline1, hole_card: ['H9', 'CA']
name: b10902063, hole_card: ['C4', 'S3']
community cards of this round: ['D4', 'CQ', 'D9', 'D7', 'HQ']
name: baseline1, hole_card: ['CA', 'S9']
name: b10902063, hole_card: ['H8', 'SA']
name: baseline1, hole_card: ['CA', 'S9']
name: b10902063, hole_card: ['H8', 'SA']
