name: b10902109, hole_card: ['C2', 'C8']
name: baseline1, hole_card: ['CK', 'H3']
name: b10902109, hole_card: ['C2', 'C8']
community cards of this round: ['S8', 'D7', 'CQ', 'C7', 'C4']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'D4']
name: b10902109, hole_card: ['S3', 'C3']
community cards of this round: ['HT', 'C7', 'D5', 'S5', 'CT']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
name: baseline1, hole_card: ['HK', 'C9']
name: b10902109, hole_card: ['C8', 'H8']
community cards of this round: ['C9', 'C5', 'D2', 'DK', 'D4']
name: baseline1, hole_card: ['CJ', 'H3']
name: b10902109, hole_card: ['D8', 'S5']
name: baseline1, hole_card: ['CJ', 'H3']
name: b10902109, hole_card: ['D8', 'S5']
community cards of this round: ['C5', 'S7', 'S5', 'S6', 'H3']
name: baseline1, hole_card: ['H6', 'HQ']
name: b10902109, hole_card: ['D4', 'C2']
name: baseline1, hole_card: ['H6', 'HQ']
name: b10902109, hole_card: ['D4', 'C2']
name: baseline1, hole_card: ['H6', 'HQ']
name: b10902109, hole_card: ['D4', 'C2']
community cards of this round: ['DJ', 'DQ', 'DT', 'S7', 'HK']
name: baseline1, hole_card: ['H8', 'HQ']
name: b10902109, hole_card: ['D3', 'D9']
name: baseline1, hole_card: ['H8', 'HQ']
name: b10902109, hole_card: ['D3', 'D9']
community cards of this round: ['D8', 'S3', 'CA', 'H2', 'HA']
name: baseline1, hole_card: ['DA', 'S9']
name: b10902109, hole_card: ['SJ', 'CK']
name: baseline1, hole_card: ['DA', 'S9']
name: b10902109, hole_card: ['SJ', 'CK']
name: baseline1, hole_card: ['DA', 'S9']
name: b10902109, hole_card: ['SJ', 'CK']
community cards of this round: ['H2', 'H8', 'D2', 'DJ', 'S7']
name: baseline1, hole_card: ['H5', 'SJ']
name: b10902109, hole_card: ['D6', 'CT']
name: baseline1, hole_card: ['H5', 'SJ']
name: b10902109, hole_card: ['D6', 'CT']
community cards of this round: ['DJ', 'H9', 'S4', 'CT', 'S2']
name: baseline1, hole_card: ['D6', 'C3']
name: b10902109, hole_card: ['H3', 'SQ']
name: baseline1, hole_card: ['D6', 'C3']
name: b10902109, hole_card: ['H3', 'SQ']
name: baseline1, hole_card: ['D6', 'C3']
name: b10902109, hole_card: ['H3', 'SQ']
community cards of this round: ['DJ', 'HK', 'C9', 'S6', 'HA']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902109, hole_card: ['HQ', 'D2']
name: baseline1, hole_card: ['DK', 'D8']
name: b10902109, hole_card: ['HQ', 'D2']
community cards of this round: ['HJ', 'D7', 'CJ', 'HT', 'CA']
name: baseline1, hole_card: ['D6', 'DK']
name: b10902109, hole_card: ['H6', 'D9']
name: baseline1, hole_card: ['D6', 'DK']
name: b10902109, hole_card: ['H6', 'D9']
name: baseline1, hole_card: ['D6', 'DK']
name: b10902109, hole_card: ['H6', 'D9']
community cards of this round: ['S8', 'ST', 'DT', 'S4', 'C6']
name: baseline1, hole_card: ['H7', 'CA']
name: b10902109, hole_card: ['C4', 'D4']
name: baseline1, hole_card: ['H7', 'CA']
name: b10902109, hole_card: ['C4', 'D4']
community cards of this round: ['D5', 'DJ', 'S8', 'HT', 'H6']
name: baseline1, hole_card: ['CT', 'H4']
name: b10902109, hole_card: ['D8', 'CA']
name: baseline1, hole_card: ['CT', 'H4']
name: b10902109, hole_card: ['D8', 'CA']
name: baseline1, hole_card: ['CT', 'H4']
name: b10902109, hole_card: ['D8', 'CA']
community cards of this round: ['C5', 'D6', 'D7', 'C2', 'H6']
name: baseline1, hole_card: ['SQ', 'H5']
name: b10902109, hole_card: ['C4', 'SK']
name: baseline1, hole_card: ['SQ', 'H5']
name: b10902109, hole_card: ['C4', 'SK']
community cards of this round: ['D8', 'CA', 'H5', 'C4', 'S6']
name: baseline1, hole_card: ['C2', 'C6']
name: b10902109, hole_card: ['S3', 'D6']
name: baseline1, hole_card: ['C2', 'C6']
name: b10902109, hole_card: ['S3', 'D6']
name: baseline1, hole_card: ['C2', 'C6']
name: b10902109, hole_card: ['S3', 'D6']
community cards of this round: ['C9', 'H8', 'CK', 'D9', 'S6']
name: baseline1, hole_card: ['DT', 'HT']
name: b10902109, hole_card: ['C8', 'C4']
name: baseline1, hole_card: ['DT', 'HT']
name: b10902109, hole_card: ['C8', 'C4']
community cards of this round: ['HQ', 'D2', 'HJ', 'H4', 'SK']
name: baseline1, hole_card: ['SA', 'C9']
name: b10902109, hole_card: ['H2', 'CT']
name: baseline1, hole_card: ['SA', 'C9']
name: b10902109, hole_card: ['H2', 'CT']
name: baseline1, hole_card: ['SA', 'C9']
name: b10902109, hole_card: ['H2', 'CT']
community cards of this round: ['S8', 'HA', 'C8', 'H6', 'SA']
name: baseline1, hole_card: ['D3', 'DA']
name: b10902109, hole_card: ['CQ', 'S9']
name: baseline1, hole_card: ['D3', 'DA']
name: b10902109, hole_card: ['CQ', 'S9']
community cards of this round: ['D4', 'C7', 'SA', 'ST', 'S3']
name: baseline1, hole_card: ['C4', 'S7']
name: b10902109, hole_card: ['D7', 'H7']
name: baseline1, hole_card: ['C4', 'S7']
name: b10902109, hole_card: ['D7', 'H7']
name: baseline1, hole_card: ['C4', 'S7']
name: b10902109, hole_card: ['D7', 'H7']
b10902109 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'jpdjmafxqbkwfhthhwtdfw', 'stack': 252.0, 'state': 'participating'}, {'name': 'b10902109', 'uuid': 'tkldncvlmlltyntzfokykm', 'stack': 1747.0, 'state': 'participating'}]}
b10902109 vs baseline1 - Match Result: 0 games won, 0.0 points earned
community cards of this round: ['H5', 'D7', 'C8', 'DJ', 'DT']
name: baseline2, hole_card: ['D6', 'CA']
name: b10902109, hole_card: ['H9', 'S9']
name: baseline2, hole_card: ['D6', 'CA']
name: b10902109, hole_card: ['H9', 'S9']
name: baseline2, hole_card: ['D6', 'CA']
name: b10902109, hole_card: ['H9', 'S9']
name: baseline2, hole_card: ['D6', 'CA']
name: b10902109, hole_card: ['H9', 'S9']
name: baseline2, hole_card: ['D6', 'CA']
name: b10902109, hole_card: ['H9', 'S9']
name: baseline2, hole_card: ['D6', 'CA']
name: b10902109, hole_card: ['H9', 'S9']
name: baseline2, hole_card: ['D6', 'CA']
name: b10902109, hole_card: ['H9', 'S9']
b10902109 vs baseline2 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline2', 'uuid': 'xmaxyplrsprvbaqoqyaiji', 'stack': 0, 'state': 'folded'}, {'name': 'b10902109', 'uuid': 'vtynzoggjsrufcunaeqpbc', 'stack': 2000.0, 'state': 'participating'}]}
community cards of this round: ['H5', 'D7', 'C8', 'DJ', 'DT']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
name: b10902109, hole_card: ['D6', 'CA']
name: baseline2, hole_card: ['H9', 'S9']
community cards of this round: ['S9', 'C4', 'H7', 'D5', 'D9']
name: b10902109, hole_card: ['HJ', 'C9']
name: baseline2, hole_card: ['H8', 'C2']
name: b10902109, hole_card: ['HJ', 'C9']
name: baseline2, hole_card: ['H8', 'C2']
name: b10902109, hole_card: ['HJ', 'C9']
name: baseline2, hole_card: ['H8', 'C2']
