name: baseline1, hole_card: ['C5', 'S2']
name: b10902087, hole_card: ['C2', 'CA']
name: baseline1, hole_card: ['C5', 'S2']
name: b10902087, hole_card: ['C2', 'CA']
name: baseline1, hole_card: ['C5', 'S2']
name: b10902087, hole_card: ['C2', 'CA']
name: baseline1, hole_card: ['C5', 'S2']
name: b10902087, hole_card: ['C2', 'CA']
name: baseline1, hole_card: ['C5', 'S2']
name: b10902087, hole_card: ['C2', 'CA']
name: baseline1, hole_card: ['C5', 'S2']
name: b10902087, hole_card: ['C2', 'CA']
name: baseline1, hole_card: ['C5', 'S2']
name: b10902087, hole_card: ['C2', 'CA']
community cards of this round: ['C5', 'D3', 'C8', 'C4', 'S6']
name: baseline1, hole_card: ['ST', 'D6']
name: b10902087, hole_card: ['H2', 'S2']
name: baseline1, hole_card: ['ST', 'D6']
name: b10902087, hole_card: ['H2', 'S2']
name: baseline1, hole_card: ['ST', 'D6']
name: b10902087, hole_card: ['H2', 'S2']
name: baseline1, hole_card: ['ST', 'D6']
name: b10902087, hole_card: ['H2', 'S2']
name: baseline1, hole_card: ['ST', 'D6']
name: b10902087, hole_card: ['H2', 'S2']
name: baseline1, hole_card: ['ST', 'D6']
name: b10902087, hole_card: ['H2', 'S2']
name: baseline1, hole_card: ['ST', 'D6']
name: b10902087, hole_card: ['H2', 'S2']
community cards of this round: ['H3', 'H7', 'S5', 'D3', 'ST']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
name: baseline1, hole_card: ['D2', 'SK']
name: b10902087, hole_card: ['DA', 'DT']
b10902087 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'xmovzstavcwedmxftgtqyj', 'stack': 0, 'state': 'folded'}, {'name': 'b10902087', 'uuid': 'bsicwhlmafntypknstzhbv', 'stack': 1999.5, 'state': 'participating'}]}
community cards of this round: ['DK', 'H5', 'D6', 'H3', 'SK']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
name: b10902087, hole_card: ['C9', 'H7']
name: baseline1, hole_card: ['S4', 'CA']
community cards of this round: ['ST', 'H6', 'HJ', 'HK', 'C6']
name: b10902087, hole_card: ['SK', 'CQ']
name: baseline1, hole_card: ['S3', 'D5']
name: b10902087, hole_card: ['SK', 'CQ']
name: baseline1, hole_card: ['S3', 'D5']
name: b10902087, hole_card: ['SK', 'CQ']
name: baseline1, hole_card: ['S3', 'D5']
