name: b10902014, hole_card: ['C9', 'C3']
name: baseline1, hole_card: ['S5', 'D5']
name: b10902014, hole_card: ['C9', 'C3']
name: baseline1, hole_card: ['S5', 'D5']
name: b10902014, hole_card: ['C9', 'C3']
community cards of this round: ['D5', 'C4', 'HA', 'HQ', 'S6']
name: baseline1, hole_card: ['D3', 'D2']
name: b10902014, hole_card: ['S3', 'H3']
name: baseline1, hole_card: ['D3', 'D2']
name: b10902014, hole_card: ['S3', 'H3']
community cards of this round: ['C2', 'C9', 'S8', 'CA', 'S2']
name: baseline1, hole_card: ['CJ', 'HT']
name: b10902014, hole_card: ['CQ', 'D5']
name: baseline1, hole_card: ['CJ', 'HT']
name: b10902014, hole_card: ['CQ', 'D5']
name: baseline1, hole_card: ['CJ', 'HT']
name: b10902014, hole_card: ['CQ', 'D5']
community cards of this round: ['H3', 'ST', 'C5', 'D7', 'DJ']
name: baseline1, hole_card: ['C6', 'CJ']
name: b10902014, hole_card: ['C9', 'D8']
name: baseline1, hole_card: ['C6', 'CJ']
name: b10902014, hole_card: ['C9', 'D8']
community cards of this round: ['CQ', 'D7', 'SA', 'C5', 'D5']
name: baseline1, hole_card: ['D2', 'C4']
name: b10902014, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['D2', 'C4']
name: b10902014, hole_card: ['CA', 'C6']
name: baseline1, hole_card: ['D2', 'C4']
name: b10902014, hole_card: ['CA', 'C6']
community cards of this round: ['D3', 'DJ', 'C7', 'DT', 'H7']
name: baseline1, hole_card: ['HJ', 'H2']
name: b10902014, hole_card: ['HA', 'C8']
name: baseline1, hole_card: ['HJ', 'H2']
name: b10902014, hole_card: ['HA', 'C8']
community cards of this round: ['H4', 'H5', 'S7', 'HK', 'S3']
name: baseline1, hole_card: ['C4', 'H8']
name: b10902014, hole_card: ['D2', 'H7']
name: baseline1, hole_card: ['C4', 'H8']
name: b10902014, hole_card: ['D2', 'H7']
name: baseline1, hole_card: ['C4', 'H8']
name: b10902014, hole_card: ['D2', 'H7']
community cards of this round: ['CA', 'H4', 'CT', 'D5', 'H7']
name: baseline1, hole_card: ['SK', 'CK']
name: b10902014, hole_card: ['C6', 'C4']
name: baseline1, hole_card: ['SK', 'CK']
name: b10902014, hole_card: ['C6', 'C4']
community cards of this round: ['SQ', 'ST', 'DJ', 'D6', 'S7']
name: baseline1, hole_card: ['HJ', 'H6']
name: b10902014, hole_card: ['CA', 'S4']
name: baseline1, hole_card: ['HJ', 'H6']
name: b10902014, hole_card: ['CA', 'S4']
name: baseline1, hole_card: ['HJ', 'H6']
name: b10902014, hole_card: ['CA', 'S4']
community cards of this round: ['D6', 'H8', 'H6', 'DQ', 'SA']
name: baseline1, hole_card: ['HA', 'D7']
name: b10902014, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HA', 'D7']
name: b10902014, hole_card: ['HT', 'H9']
community cards of this round: ['CQ', 'H2', 'S6', 'H5', 'S7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902014, hole_card: ['CK', 'HK']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902014, hole_card: ['CK', 'HK']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902014, hole_card: ['CK', 'HK']
b10902014 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'mghzuelqbksuxewoduqjgp', 'stack': 983.75, 'state': 'participating'}, {'name': 'b10902014', 'uuid': 'axyjlgtknuglzptxrzanax', 'stack': 1016, 'state': 'participating'}]}
community cards of this round: ['CT', 'SJ', 'D9', 'S6', 'H8']
name: b10902014, hole_card: ['S2', 'DT']
name: baseline1, hole_card: ['D2', 'H9']
name: b10902014, hole_card: ['S2', 'DT']
name: baseline1, hole_card: ['D2', 'H9']
name: b10902014, hole_card: ['S2', 'DT']
name: baseline1, hole_card: ['D2', 'H9']
community cards of this round: ['H3', 'S7', 'H6', 'H7', 'D7']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
name: b10902014, hole_card: ['H5', 'SK']
name: baseline1, hole_card: ['HT', 'SA']
community cards of this round: ['D8', 'C5', 'D7', 'HA', 'H8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
name: b10902014, hole_card: ['CQ', 'S8']
name: baseline1, hole_card: ['D2', 'C8']
community cards of this round: ['HQ', 'ST', 'D9', 'H2', 'D7']
name: b10902014, hole_card: ['D5', 'C9']
name: baseline1, hole_card: ['C5', 'SK']
name: b10902014, hole_card: ['D5', 'C9']
name: baseline1, hole_card: ['C5', 'SK']
community cards of this round: ['C9', 'H6', 'CA', 'DA', 'DT']
name: b10902014, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['HK', 'C7']
name: b10902014, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['HK', 'C7']
name: b10902014, hole_card: ['HT', 'C5']
name: baseline1, hole_card: ['HK', 'C7']
community cards of this round: ['CK', 'D9', 'C7', 'S8', 'CQ']
name: b10902014, hole_card: ['S9', 'H9']
name: baseline1, hole_card: ['S4', 'DA']
name: b10902014, hole_card: ['S9', 'H9']
name: baseline1, hole_card: ['S4', 'DA']
community cards of this round: ['CQ', 'D7', 'S4', 'H7', 'S9']
name: b10902014, hole_card: ['S2', 'CT']
name: baseline1, hole_card: ['DQ', 'HJ']
name: b10902014, hole_card: ['S2', 'CT']
name: baseline1, hole_card: ['DQ', 'HJ']
name: b10902014, hole_card: ['S2', 'CT']
name: baseline1, hole_card: ['DQ', 'HJ']
community cards of this round: ['S4', 'SJ', 'CT', 'D5', 'C9']
name: b10902014, hole_card: ['S9', 'H7']
name: baseline1, hole_card: ['H5', 'H9']
name: b10902014, hole_card: ['S9', 'H7']
name: baseline1, hole_card: ['H5', 'H9']
community cards of this round: ['DA', 'C9', 'ST', 'C2', 'CQ']
name: b10902014, hole_card: ['DJ', 'D3']
name: baseline1, hole_card: ['S8', 'H9']
name: b10902014, hole_card: ['DJ', 'D3']
name: baseline1, hole_card: ['S8', 'H9']
name: b10902014, hole_card: ['DJ', 'D3']
name: baseline1, hole_card: ['S8', 'H9']
community cards of this round: ['D4', 'S8', 'HA', 'CA', 'SQ']
name: b10902014, hole_card: ['S5', 'D5']
name: baseline1, hole_card: ['C9', 'C3']
name: b10902014, hole_card: ['S5', 'D5']
name: baseline1, hole_card: ['C9', 'C3']
community cards of this round: ['D5', 'C4', 'HA', 'HQ', 'S6']
name: b10902014, hole_card: ['D3', 'D2']
name: baseline1, hole_card: ['S3', 'H3']
name: b10902014, hole_card: ['D3', 'D2']
name: baseline1, hole_card: ['S3', 'H3']
name: b10902014, hole_card: ['D3', 'D2']
name: baseline1, hole_card: ['S3', 'H3']
community cards of this round: ['C2', 'C9', 'S8', 'CA', 'S2']
name: b10902014, hole_card: ['CJ', 'HT']
name: baseline1, hole_card: ['CQ', 'D5']
name: b10902014, hole_card: ['CJ', 'HT']
name: baseline1, hole_card: ['CQ', 'D5']
community cards of this round: ['H3', 'ST', 'C5', 'D7', 'DJ']
name: b10902014, hole_card: ['C6', 'CJ']
name: baseline1, hole_card: ['C9', 'D8']
name: b10902014, hole_card: ['C6', 'CJ']
name: baseline1, hole_card: ['C9', 'D8']
name: b10902014, hole_card: ['C6', 'CJ']
