name: b11902114, hole_card: ['S2', 'C9']
name: baseline1, hole_card: ['D6', 'C2']
community cards of this round: ['SK', 'S3', 'H7', 'C3', 'S8']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
name: b11902114, hole_card: ['DK', 'D3']
name: baseline1, hole_card: ['SA', 'CT']
community cards of this round: ['C7', 'H4', 'C4', 'HQ', 'D5']
name: b11902114, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S5', 'C3']
name: b11902114, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S5', 'C3']
community cards of this round: ['SJ', 'CT', 'D5', 'C9', 'D9']
name: b11902114, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['C3', 'DK']
name: b11902114, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['C3', 'DK']
name: b11902114, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['C3', 'DK']
community cards of this round: ['S4', 'HA', 'C3', 'S9', 'DT']
name: b11902114, hole_card: ['C4', 'C5']
name: baseline1, hole_card: ['S7', 'S5']
name: b11902114, hole_card: ['C4', 'C5']
name: baseline1, hole_card: ['S7', 'S5']
community cards of this round: ['C8', 'CQ', 'CK', 'SQ', 'H7']
name: b11902114, hole_card: ['H9', 'SJ']
name: baseline1, hole_card: ['D4', 'C9']
name: b11902114, hole_card: ['H9', 'SJ']
name: baseline1, hole_card: ['D4', 'C9']
name: b11902114, hole_card: ['H9', 'SJ']
name: baseline1, hole_card: ['D4', 'C9']
community cards of this round: ['HK', 'DQ', 'SQ', 'SJ', 'S4']
name: b11902114, hole_card: ['S7', 'CK']
name: baseline1, hole_card: ['H2', 'D4']
name: b11902114, hole_card: ['S7', 'CK']
name: baseline1, hole_card: ['H2', 'D4']
community cards of this round: ['H8', 'SQ', 'C2', 'H5', 'DA']
name: b11902114, hole_card: ['DJ', 'CJ']
name: baseline1, hole_card: ['ST', 'D2']
name: b11902114, hole_card: ['DJ', 'CJ']
name: baseline1, hole_card: ['ST', 'D2']
name: b11902114, hole_card: ['DJ', 'CJ']
name: baseline1, hole_card: ['ST', 'D2']
community cards of this round: ['H7', 'C7', 'CJ', 'D8', 'HT']
name: b11902114, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['S5', 'H8']
name: b11902114, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['S5', 'H8']
community cards of this round: ['C6', 'CA', 'SQ', 'DQ', 'HA']
name: b11902114, hole_card: ['CT', 'C2']
name: baseline1, hole_card: ['S8', 'DK']
name: b11902114, hole_card: ['CT', 'C2']
name: baseline1, hole_card: ['S8', 'DK']
name: b11902114, hole_card: ['CT', 'C2']
name: baseline1, hole_card: ['S8', 'DK']
community cards of this round: ['S7', 'SK', 'H5', 'CT', 'D6']
name: b11902114, hole_card: ['CA', 'S3']
name: baseline1, hole_card: ['S6', 'HT']
name: b11902114, hole_card: ['CA', 'S3']
name: baseline1, hole_card: ['S6', 'HT']
b11902114 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b11902114', 'uuid': 'qxpdqzkesxeokadlmrirkr', 'stack': 1130, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'rizjwkkzumjbsfpraxfvce', 'stack': 869.5, 'state': 'participating'}]}
community cards of this round: ['CJ', 'DQ', 'SA', 'S5', 'S4']
name: baseline1, hole_card: ['S2', 'DK']
name: b11902114, hole_card: ['S7', 'S3']
name: baseline1, hole_card: ['S2', 'DK']
name: b11902114, hole_card: ['S7', 'S3']
community cards of this round: ['CQ', 'H2', 'SJ', 'HJ', 'D7']
name: baseline1, hole_card: ['H7', 'HQ']
name: b11902114, hole_card: ['C4', 'H3']
name: baseline1, hole_card: ['H7', 'HQ']
name: b11902114, hole_card: ['C4', 'H3']
name: baseline1, hole_card: ['H7', 'HQ']
name: b11902114, hole_card: ['C4', 'H3']
name: baseline1, hole_card: ['H7', 'HQ']
name: b11902114, hole_card: ['C4', 'H3']
name: baseline1, hole_card: ['H7', 'HQ']
