name: baseline1, hole_card: ['HK', 'H5']
name: b10902100, hole_card: ['CQ', 'SA']
b10902100 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'mskjogopaaucwnwplynlrp', 'stack': 2000, 'state': 'participating'}, {'name': 'b10902100', 'uuid': 'sgcjtwmgytqpxkqfjggsjn', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['DJ', 'D7', 'H7', 'ST', 'DA']
name: b10902100, hole_card: ['S2', 'D3']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902100, hole_card: ['S2', 'D3']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902100, hole_card: ['S2', 'D3']
name: baseline1, hole_card: ['DT', 'H2']
community cards of this round: ['H3', 'HA', 'C7', 'H6', 'S9']
name: b10902100, hole_card: ['C4', 'S8']
name: baseline1, hole_card: ['C6', 'H7']
name: b10902100, hole_card: ['C4', 'S8']
name: baseline1, hole_card: ['C6', 'H7']
community cards of this round: ['CT', 'C3', 'S2', 'D5', 'D2']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
name: b10902100, hole_card: ['CA', 'SJ']
name: baseline1, hole_card: ['S4', 'HQ']
community cards of this round: ['D5', 'S4', 'D6', 'S7', 'C5']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
name: b10902100, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['SK', 'S9']
community cards of this round: ['C2', 'CK', 'D3', 'D9', 'D6']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
name: b10902100, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['CA', 'D5']
community cards of this round: ['S7', 'HA', 'H4', 'DJ', 'D6']
name: b10902100, hole_card: ['D9', 'S5']
name: baseline1, hole_card: ['H8', 'C3']
name: b10902100, hole_card: ['D9', 'S5']
name: baseline1, hole_card: ['H8', 'C3']
