name: b10902111, hole_card: ['C8', 'C2']
community cards of this round: ['HQ', 'C5', 'H8', 'D3', 'C3']
name: baseline1, hole_card: ['ST', 'H6']
name: b10902111, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['ST', 'H6']
name: b10902111, hole_card: ['D4', 'CT']
community cards of this round: ['SK', 'S7', 'S8', 'S3', 'CJ']
name: baseline1, hole_card: ['C4', 'C2']
name: b10902111, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['C4', 'C2']
name: b10902111, hole_card: ['H3', 'D5']
name: baseline1, hole_card: ['C4', 'C2']
name: b10902111, hole_card: ['H3', 'D5']
community cards of this round: ['HT', 'DT', 'SK', 'S3', 'CT']
name: baseline1, hole_card: ['H2', 'H6']
name: b10902111, hole_card: ['C6', 'H8']
name: baseline1, hole_card: ['H2', 'H6']
name: b10902111, hole_card: ['C6', 'H8']
community cards of this round: ['HT', 'DA', 'ST', 'DJ', 'DQ']
name: baseline1, hole_card: ['H3', 'S6']
name: b10902111, hole_card: ['DT', 'SJ']
name: baseline1, hole_card: ['H3', 'S6']
name: b10902111, hole_card: ['DT', 'SJ']
name: baseline1, hole_card: ['H3', 'S6']
name: b10902111, hole_card: ['DT', 'SJ']
community cards of this round: ['CA', 'SJ', 'SA', 'S4', 'DK']
name: baseline1, hole_card: ['CK', 'C4']
name: b10902111, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['CK', 'C4']
name: b10902111, hole_card: ['H4', 'D5']
community cards of this round: ['C4', 'C8', 'D3', 'H7', 'C2']
name: baseline1, hole_card: ['D2', 'S2']
name: b10902111, hole_card: ['HK', 'H6']
name: baseline1, hole_card: ['D2', 'S2']
name: b10902111, hole_card: ['HK', 'H6']
name: baseline1, hole_card: ['D2', 'S2']
name: b10902111, hole_card: ['HK', 'H6']
community cards of this round: ['C9', 'S7', 'H9', 'D7', 'HA']
name: baseline1, hole_card: ['HQ', 'S8']
name: b10902111, hole_card: ['CJ', 'HT']
name: baseline1, hole_card: ['HQ', 'S8']
name: b10902111, hole_card: ['CJ', 'HT']
community cards of this round: ['DT', 'CK', 'S3', 'H6', 'D4']
name: baseline1, hole_card: ['S8', 'HQ']
name: b10902111, hole_card: ['H8', 'ST']
name: baseline1, hole_card: ['S8', 'HQ']
name: b10902111, hole_card: ['H8', 'ST']
name: baseline1, hole_card: ['S8', 'HQ']
name: b10902111, hole_card: ['H8', 'ST']
b10902111 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'drcmbdviuojwzkdafjcfuy', 'stack': 564.0, 'state': 'participating'}, {'name': 'b10902111', 'uuid': 'udxvdwbuiultvpphfqctmj', 'stack': 1435.0, 'state': 'participating'}]}
community cards of this round: ['C8', 'C4', 'CQ', 'CA', 'S7']
name: b10902111, hole_card: ['D3', 'H4']
name: baseline1, hole_card: ['H8', 'DQ']
name: b10902111, hole_card: ['D3', 'H4']
name: baseline1, hole_card: ['H8', 'DQ']
name: b10902111, hole_card: ['D3', 'H4']
name: baseline1, hole_card: ['H8', 'DQ']
community cards of this round: ['S2', 'D3', 'D8', 'CK', 'DA']
name: b10902111, hole_card: ['CQ', 'H4']
name: baseline1, hole_card: ['S5', 'D6']
name: b10902111, hole_card: ['CQ', 'H4']
name: baseline1, hole_card: ['S5', 'D6']
name: b10902111, hole_card: ['CQ', 'H4']
name: baseline1, hole_card: ['S5', 'D6']
name: b10902111, hole_card: ['CQ', 'H4']
name: baseline1, hole_card: ['S5', 'D6']
community cards of this round: ['H7', 'S3', 'HA', 'CA', 'SA']
name: b10902111, hole_card: ['S4', 'DJ']
name: baseline1, hole_card: ['ST', 'C6']
name: b10902111, hole_card: ['S4', 'DJ']
name: baseline1, hole_card: ['ST', 'C6']
name: b10902111, hole_card: ['S4', 'DJ']
name: baseline1, hole_card: ['ST', 'C6']
name: b10902111, hole_card: ['S4', 'DJ']
name: baseline1, hole_card: ['ST', 'C6']
name: b10902111, hole_card: ['S4', 'DJ']
name: baseline1, hole_card: ['ST', 'C6']
community cards of this round: ['CQ', 'CT', 'CA', 'DJ', 'C9']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
name: b10902111, hole_card: ['DK', 'C8']
name: baseline1, hole_card: ['D4', 'SQ']
community cards of this round: ['H2', 'H8', 'D2', 'C9', 'S2']
name: b10902111, hole_card: ['CK', 'DQ']
name: baseline1, hole_card: ['C3', 'S7']
name: b10902111, hole_card: ['CK', 'DQ']
name: baseline1, hole_card: ['C3', 'S7']
name: b10902111, hole_card: ['CK', 'DQ']
name: baseline1, hole_card: ['C3', 'S7']
name: b10902111, hole_card: ['CK', 'DQ']
name: baseline1, hole_card: ['C3', 'S7']
community cards of this round: ['HJ', 'C2', 'D7', 'D5', 'S9']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
name: b10902111, hole_card: ['C6', 'C7']
name: baseline1, hole_card: ['D2', 'S5']
community cards of this round: ['HA', 'H3', 'S6', 'S5', 'CT']
name: b10902111, hole_card: ['SQ', 'H6']
name: baseline1, hole_card: ['CA', 'H8']
name: b10902111, hole_card: ['SQ', 'H6']
name: baseline1, hole_card: ['CA', 'H8']
name: b10902111, hole_card: ['SQ', 'H6']
name: baseline1, hole_card: ['CA', 'H8']
community cards of this round: ['C2', 'SA', 'S9', 'HQ', 'H6']
name: b10902111, hole_card: ['HK', 'DK']
name: baseline1, hole_card: ['HA', 'SK']
name: b10902111, hole_card: ['HK', 'DK']
name: baseline1, hole_card: ['HA', 'SK']
