name: b10902067, hole_card: ['C8', 'D4']
community cards of this round: ['C9', 'CA', 'CJ', 'H9', 'H3']
name: baseline1, hole_card: ['S2', 'C2']
name: b10902067, hole_card: ['H2', 'HJ']
name: baseline1, hole_card: ['S2', 'C2']
name: b10902067, hole_card: ['H2', 'HJ']
community cards of this round: ['D2', 'C9', 'D4', 'H4', 'DT']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902067, hole_card: ['D8', 'ST']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902067, hole_card: ['D8', 'ST']
name: baseline1, hole_card: ['S9', 'DA']
name: b10902067, hole_card: ['D8', 'ST']
community cards of this round: ['HQ', 'DQ', 'C4', 'C8', 'S9']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
name: baseline1, hole_card: ['D4', 'SA']
name: b10902067, hole_card: ['C2', 'S2']
community cards of this round: ['C9', 'D4', 'SQ', 'CT', 'C7']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['HJ', 'S8']
name: b10902067, hole_card: ['SK', 'CK']
community cards of this round: ['SQ', 'H9', 'D8', 'H2', 'D6']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902067, hole_card: ['S4', 'D3']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902067, hole_card: ['S4', 'D3']
community cards of this round: ['D6', 'S9', 'SJ', 'D2', 'ST']
name: baseline1, hole_card: ['SA', 'S4']
name: b10902067, hole_card: ['CT', 'DT']
name: baseline1, hole_card: ['SA', 'S4']
name: b10902067, hole_card: ['CT', 'DT']
name: baseline1, hole_card: ['SA', 'S4']
name: b10902067, hole_card: ['CT', 'DT']
community cards of this round: ['HT', 'S4', 'D7', 'D5', 'S6']
name: baseline1, hole_card: ['HJ', 'H2']
name: b10902067, hole_card: ['S3', 'CT']
name: baseline1, hole_card: ['HJ', 'H2']
name: b10902067, hole_card: ['S3', 'CT']
community cards of this round: ['D5', 'S3', 'HA', 'D9', 'D6']
name: baseline1, hole_card: ['DQ', 'C4']
name: b10902067, hole_card: ['D8', 'C3']
name: baseline1, hole_card: ['DQ', 'C4']
name: b10902067, hole_card: ['D8', 'C3']
name: baseline1, hole_card: ['DQ', 'C4']
name: b10902067, hole_card: ['D8', 'C3']
community cards of this round: ['SJ', 'CQ', 'H4', 'HT', 'C2']
name: baseline1, hole_card: ['DJ', 'D2']
name: b10902067, hole_card: ['S5', 'C6']
name: baseline1, hole_card: ['DJ', 'D2']
name: b10902067, hole_card: ['S5', 'C6']
community cards of this round: ['D4', 'S2', 'S3', 'D5', 'SJ']
name: baseline1, hole_card: ['CQ', 'C9']
name: b10902067, hole_card: ['S7', 'HT']
name: baseline1, hole_card: ['CQ', 'C9']
name: b10902067, hole_card: ['S7', 'HT']
name: baseline1, hole_card: ['CQ', 'C9']
name: b10902067, hole_card: ['S7', 'HT']
community cards of this round: ['S3', 'SJ', 'C5', 'S9', 'S4']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902067, hole_card: ['DT', 'D4']
name: baseline1, hole_card: ['D7', 'ST']
name: b10902067, hole_card: ['DT', 'D4']
community cards of this round: ['DQ', 'C8', 'H7', 'SJ', 'SQ']
name: baseline1, hole_card: ['CQ', 'H3']
name: b10902067, hole_card: ['HK', 'CK']
name: baseline1, hole_card: ['CQ', 'H3']
