community cards of this round: ['C9', 'D8', 'H5', 'D6', 'CQ']
name: baseline1, hole_card: ['S7', 'HA']
name: b10902034, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['S7', 'HA']
name: b10902034, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['S7', 'HA']
name: b10902034, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['S7', 'HA']
name: b10902034, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['S7', 'HA']
name: b10902034, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['S7', 'HA']
name: b10902034, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['S7', 'HA']
name: b10902034, hole_card: ['SJ', 'H4']
community cards of this round: ['S5', 'C6', 'DT', 'H5', 'H2']
name: baseline1, hole_card: ['DK', 'D7']
name: b10902034, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['DK', 'D7']
name: b10902034, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['DK', 'D7']
name: b10902034, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['DK', 'D7']
name: b10902034, hole_card: ['D6', 'HA']
name: baseline1, hole_card: ['DK', 'D7']
name: b10902034, hole_card: ['D6', 'HA']
community cards of this round: ['H4', 'CK', 'S4', 'C3', 'C9']
name: baseline1, hole_card: ['D5', 'H2']
name: b10902034, hole_card: ['D8', 'S9']
name: baseline1, hole_card: ['D5', 'H2']
name: b10902034, hole_card: ['D8', 'S9']
name: baseline1, hole_card: ['D5', 'H2']
name: b10902034, hole_card: ['D8', 'S9']
community cards of this round: ['CK', 'D6', 'H9', 'S4', 'HK']
name: baseline1, hole_card: ['HT', 'H8']
name: b10902034, hole_card: ['D7', 'H5']
name: baseline1, hole_card: ['HT', 'H8']
name: b10902034, hole_card: ['D7', 'H5']
community cards of this round: ['CT', 'H8', 'CQ', 'H5', 'C5']
name: baseline1, hole_card: ['DQ', 'C2']
name: b10902034, hole_card: ['D3', 'D5']
name: baseline1, hole_card: ['DQ', 'C2']
name: b10902034, hole_card: ['D3', 'D5']
name: baseline1, hole_card: ['DQ', 'C2']
name: b10902034, hole_card: ['D3', 'D5']
community cards of this round: ['H7', 'S3', 'H2', 'CA', 'ST']
name: baseline1, hole_card: ['DJ', 'D5']
name: b10902034, hole_card: ['H6', 'SJ']
name: baseline1, hole_card: ['DJ', 'D5']
name: b10902034, hole_card: ['H6', 'SJ']
community cards of this round: ['SA', 'HT', 'C8', 'SK', 'D5']
name: baseline1, hole_card: ['H8', 'C6']
name: b10902034, hole_card: ['CT', 'C9']
name: baseline1, hole_card: ['H8', 'C6']
name: b10902034, hole_card: ['CT', 'C9']
name: baseline1, hole_card: ['H8', 'C6']
name: b10902034, hole_card: ['CT', 'C9']
community cards of this round: ['ST', 'SQ', 'D6', 'D7', 'S8']
name: baseline1, hole_card: ['HT', 'S7']
name: b10902034, hole_card: ['C3', 'D2']
name: baseline1, hole_card: ['HT', 'S7']
name: b10902034, hole_card: ['C3', 'D2']
community cards of this round: ['CQ', 'D7', 'HQ', 'DQ', 'DA']
name: baseline1, hole_card: ['HA', 'S9']
name: b10902034, hole_card: ['SA', 'D6']
name: baseline1, hole_card: ['HA', 'S9']
name: b10902034, hole_card: ['SA', 'D6']
name: baseline1, hole_card: ['HA', 'S9']
name: b10902034, hole_card: ['SA', 'D6']
community cards of this round: ['CQ', 'D9', 'C6', 'HT', 'H9']
name: baseline1, hole_card: ['D7', 'SK']
name: b10902034, hole_card: ['S8', 'H8']
name: baseline1, hole_card: ['D7', 'SK']
name: b10902034, hole_card: ['S8', 'H8']
community cards of this round: ['D6', 'HT', 'HJ', 'CA', 'HK']
name: baseline1, hole_card: ['D5', 'D7']
name: b10902034, hole_card: ['DQ', 'S5']
name: baseline1, hole_card: ['D5', 'D7']
name: b10902034, hole_card: ['DQ', 'S5']
name: baseline1, hole_card: ['D5', 'D7']
name: b10902034, hole_card: ['DQ', 'S5']
b10902034 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'ntmpjspvdyyuhvtqzvaqvr', 'stack': 187.859375, 'state': 'participating'}, {'name': 'b10902034', 'uuid': 'rexjfnsxctnoskkmstaqsb', 'stack': 1810, 'state': 'participating'}]}
community cards of this round: ['DT', 'C4', 'H4', 'HJ', 'SA']
name: b10902034, hole_card: ['H2', 'S6']
name: baseline1, hole_card: ['CK', 'DJ']
name: b10902034, hole_card: ['H2', 'S6']
name: baseline1, hole_card: ['CK', 'DJ']
name: b10902034, hole_card: ['H2', 'S6']
name: baseline1, hole_card: ['CK', 'DJ']
community cards of this round: ['C6', 'C3', 'DJ', 'H5', 'C4']
name: b10902034, hole_card: ['H3', 'C5']
name: baseline1, hole_card: ['C2', 'ST']
name: b10902034, hole_card: ['H3', 'C5']
name: baseline1, hole_card: ['C2', 'ST']
community cards of this round: ['SJ', 'CA', 'C9', 'S3', 'CJ']
name: b10902034, hole_card: ['D2', 'H8']
name: baseline1, hole_card: ['SA', 'HA']
name: b10902034, hole_card: ['D2', 'H8']
name: baseline1, hole_card: ['SA', 'HA']
name: b10902034, hole_card: ['D2', 'H8']
name: baseline1, hole_card: ['SA', 'HA']
community cards of this round: ['H5', 'DA', 'S8', 'C4', 'HJ']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902034, hole_card: ['S4', 'CT']
name: baseline1, hole_card: ['H8', 'C7']
community cards of this round: ['HQ', 'D3', 'D5', 'H5', 'CK']
name: b10902034, hole_card: ['SA', 'H3']
name: baseline1, hole_card: ['C9', 'H6']
name: b10902034, hole_card: ['SA', 'H3']
name: baseline1, hole_card: ['C9', 'H6']
