name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902113, hole_card: ['HT', 'HQ']
community cards of this round: ['CT', 'HT', 'D9', 'H6', 'C3']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b10902113, hole_card: ['H9', 'DK']
community cards of this round: ['CQ', 'DQ', 'ST', 'D4', 'D8']
name: baseline1, hole_card: ['CT', 'HJ']
name: b10902113, hole_card: ['CJ', 'HK']
name: baseline1, hole_card: ['CT', 'HJ']
name: b10902113, hole_card: ['CJ', 'HK']
name: baseline1, hole_card: ['CT', 'HJ']
name: b10902113, hole_card: ['CJ', 'HK']
name: baseline1, hole_card: ['CT', 'HJ']
name: b10902113, hole_card: ['CJ', 'HK']
name: baseline1, hole_card: ['CT', 'HJ']
name: b10902113, hole_card: ['CJ', 'HK']
name: baseline1, hole_card: ['CT', 'HJ']
name: b10902113, hole_card: ['CJ', 'HK']
community cards of this round: ['D4', 'H7', 'S6', 'H6', 'HA']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
name: baseline1, hole_card: ['HJ', 'DJ']
name: b10902113, hole_card: ['C9', 'DT']
community cards of this round: ['C4', 'H3', 'DQ', 'D7', 'H9']
name: baseline1, hole_card: ['SA', 'DA']
name: b10902113, hole_card: ['CK', 'C9']
name: baseline1, hole_card: ['SA', 'DA']
name: b10902113, hole_card: ['CK', 'C9']
name: baseline1, hole_card: ['SA', 'DA']
name: b10902113, hole_card: ['CK', 'C9']
name: baseline1, hole_card: ['SA', 'DA']
name: b10902113, hole_card: ['CK', 'C9']
community cards of this round: ['D8', 'SQ', 'DQ', 'CJ', 'D4']
name: baseline1, hole_card: ['H5', 'CQ']
name: b10902113, hole_card: ['D5', 'ST']
name: baseline1, hole_card: ['H5', 'CQ']
name: b10902113, hole_card: ['D5', 'ST']
name: baseline1, hole_card: ['H5', 'CQ']
name: b10902113, hole_card: ['D5', 'ST']
name: baseline1, hole_card: ['H5', 'CQ']
name: b10902113, hole_card: ['D5', 'ST']
name: baseline1, hole_card: ['H5', 'CQ']
name: b10902113, hole_card: ['D5', 'ST']
community cards of this round: ['HA', 'D7', 'DQ', 'CA', 'S2']
name: baseline1, hole_card: ['D5', 'H3']
name: b10902113, hole_card: ['DK', 'S9']
name: baseline1, hole_card: ['D5', 'H3']
name: b10902113, hole_card: ['DK', 'S9']
name: baseline1, hole_card: ['D5', 'H3']
name: b10902113, hole_card: ['DK', 'S9']
name: baseline1, hole_card: ['D5', 'H3']
name: b10902113, hole_card: ['DK', 'S9']
name: baseline1, hole_card: ['D5', 'H3']
name: b10902113, hole_card: ['DK', 'S9']
