name: b09605039, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b09605039, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b09605039, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b09605039, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b09605039, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b09605039, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['HQ', 'H5']
name: b09605039, hole_card: ['D5', 'DT']
community cards of this round: ['CK', 'D9', 'D6', 'H9', 'D4']
name: baseline1, hole_card: ['C4', 'HA']
name: b09605039, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['C4', 'HA']
name: b09605039, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['C4', 'HA']
name: b09605039, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['C4', 'HA']
name: b09605039, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['C4', 'HA']
name: b09605039, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['C4', 'HA']
name: b09605039, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['C4', 'HA']
name: b09605039, hole_card: ['DK', 'H3']
b09605039 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'nbmxvwsxkpprfqhnknqmjx', 'stack': 0, 'state': 'folded'}, {'name': 'b09605039', 'uuid': 'uidtstbjduygafrflcwxwg', 'stack': 1993.2963025734243, 'state': 'participating'}]}
community cards of this round: ['D9', 'CA', 'DJ', 'C3', 'C4']
name: b09605039, hole_card: ['C9', 'ST']
name: baseline1, hole_card: ['D7', 'SA']
name: b09605039, hole_card: ['C9', 'ST']
name: baseline1, hole_card: ['D7', 'SA']
name: b09605039, hole_card: ['C9', 'ST']
name: baseline1, hole_card: ['D7', 'SA']
name: b09605039, hole_card: ['C9', 'ST']
name: baseline1, hole_card: ['D7', 'SA']
name: b09605039, hole_card: ['C9', 'ST']
name: baseline1, hole_card: ['D7', 'SA']
name: b09605039, hole_card: ['C9', 'ST']
name: baseline1, hole_card: ['D7', 'SA']
community cards of this round: ['DJ', 'C5', 'CQ', 'H9', 'SJ']
name: b09605039, hole_card: ['H8', 'DK']
name: baseline1, hole_card: ['C3', 'H4']
name: b09605039, hole_card: ['H8', 'DK']
name: baseline1, hole_card: ['C3', 'H4']
name: b09605039, hole_card: ['H8', 'DK']
name: baseline1, hole_card: ['C3', 'H4']
name: b09605039, hole_card: ['H8', 'DK']
name: baseline1, hole_card: ['C3', 'H4']
name: b09605039, hole_card: ['H8', 'DK']
name: baseline1, hole_card: ['C3', 'H4']
community cards of this round: ['C4', 'S9', 'S2', 'C7', 'SA']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
name: b09605039, hole_card: ['DQ', 'CT']
name: baseline1, hole_card: ['D6', 'S5']
community cards of this round: ['C2', 'SJ', 'DA', 'S6', 'C8']
name: b09605039, hole_card: ['CJ', 'DK']
name: baseline1, hole_card: ['SQ', 'H6']
name: b09605039, hole_card: ['CJ', 'DK']
name: baseline1, hole_card: ['SQ', 'H6']
name: b09605039, hole_card: ['CJ', 'DK']
