name: baseline1, hole_card: ['C8', 'D4']
name: b10502058, hole_card: ['SA', 'D6']
name: baseline1, hole_card: ['C8', 'D4']
name: b10502058, hole_card: ['SA', 'D6']
name: baseline1, hole_card: ['C8', 'D4']
name: b10502058, hole_card: ['SA', 'D6']
name: baseline1, hole_card: ['C8', 'D4']
name: b10502058, hole_card: ['SA', 'D6']
community cards of this round: ['H7', 'S4', 'HT', 'C8', 'SQ']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
name: baseline1, hole_card: ['CQ', 'ST']
name: b10502058, hole_card: ['S7', 'S5']
community cards of this round: ['D3', 'D5', 'C5', 'DK', 'H8']
name: baseline1, hole_card: ['D2', 'S4']
name: b10502058, hole_card: ['H6', 'HA']
name: baseline1, hole_card: ['D2', 'S4']
name: b10502058, hole_card: ['H6', 'HA']
name: baseline1, hole_card: ['D2', 'S4']
name: b10502058, hole_card: ['H6', 'HA']
community cards of this round: ['DQ', 'CA', 'D6', 'H9', 'SJ']
name: baseline1, hole_card: ['H8', 'DA']
name: b10502058, hole_card: ['HK', 'SK']
name: baseline1, hole_card: ['H8', 'DA']
name: b10502058, hole_card: ['HK', 'SK']
community cards of this round: ['C6', 'SA', 'ST', 'DT', 'S5']
