name: b10902022, hole_card: ['S5', 'DT']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902022, hole_card: ['S5', 'DT']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902022, hole_card: ['S5', 'DT']
community cards of this round: ['S4', 'C2', 'SK', 'S9', 'CT']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
name: baseline1, hole_card: ['DJ', 'D4']
name: b10902022, hole_card: ['SJ', 'D5']
community cards of this round: ['DA', 'C2', 'H5', 'SJ', 'D9']
name: baseline1, hole_card: ['S3', 'D6']
name: b10902022, hole_card: ['S6', 'C3']
name: baseline1, hole_card: ['S3', 'D6']
name: b10902022, hole_card: ['S6', 'C3']
name: baseline1, hole_card: ['S3', 'D6']
name: b10902022, hole_card: ['S6', 'C3']
name: baseline1, hole_card: ['S3', 'D6']
name: b10902022, hole_card: ['S6', 'C3']
name: baseline1, hole_card: ['S3', 'D6']
name: b10902022, hole_card: ['S6', 'C3']
name: baseline1, hole_card: ['S3', 'D6']
name: b10902022, hole_card: ['S6', 'C3']
community cards of this round: ['D8', 'SQ', 'D2', 'D7', 'D5']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
