name: baseline1, hole_card: ['CJ', 'C6']
name: b10902123, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['CJ', 'C6']
name: b10902123, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['CJ', 'C6']
name: b10902123, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['CJ', 'C6']
name: b10902123, hole_card: ['SJ', 'H4']
community cards of this round: ['HA', 'C2', 'C3', 'ST', 'H4']
name: baseline1, hole_card: ['D4', 'H8']
name: b10902123, hole_card: ['H9', 'C5']
name: baseline1, hole_card: ['D4', 'H8']
name: b10902123, hole_card: ['H9', 'C5']
name: baseline1, hole_card: ['D4', 'H8']
name: b10902123, hole_card: ['H9', 'C5']
name: baseline1, hole_card: ['D4', 'H8']
name: b10902123, hole_card: ['H9', 'C5']
name: baseline1, hole_card: ['D4', 'H8']
name: b10902123, hole_card: ['H9', 'C5']
community cards of this round: ['S5', 'CK', 'S2', 'HT', 'D9']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
name: baseline1, hole_card: ['DT', 'C6']
name: b10902123, hole_card: ['C9', 'DJ']
community cards of this round: ['CA', 'HA', 'SK', 'S3', 'CJ']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
name: baseline1, hole_card: ['HJ', 'SQ']
name: b10902123, hole_card: ['C2', 'DT']
community cards of this round: ['SJ', 'ST', 'H3', 'H2', 'HK']
name: baseline1, hole_card: ['H4', 'D7']
name: b10902123, hole_card: ['H8', 'CJ']
name: baseline1, hole_card: ['H4', 'D7']
name: b10902123, hole_card: ['H8', 'CJ']
name: baseline1, hole_card: ['H4', 'D7']
name: b10902123, hole_card: ['H8', 'CJ']
name: baseline1, hole_card: ['H4', 'D7']
name: b10902123, hole_card: ['H8', 'CJ']
community cards of this round: ['DA', 'D9', 'C9', 'HQ', 'C7']
name: baseline1, hole_card: ['H3', 'C4']
name: b10902123, hole_card: ['CJ', 'D8']
name: baseline1, hole_card: ['H3', 'C4']
name: b10902123, hole_card: ['CJ', 'D8']
name: baseline1, hole_card: ['H3', 'C4']
name: b10902123, hole_card: ['CJ', 'D8']
name: baseline1, hole_card: ['H3', 'C4']
name: b10902123, hole_card: ['CJ', 'D8']
name: baseline1, hole_card: ['H3', 'C4']
name: b10902123, hole_card: ['CJ', 'D8']
community cards of this round: ['S4', 'S3', 'D3', 'HA', 'SQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
name: baseline1, hole_card: ['HK', 'DQ']
name: b10902123, hole_card: ['HJ', 'CQ']
community cards of this round: ['S2', 'S8', 'S7', 'HQ', 'D5']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['CK', 'D3']
name: b10902123, hole_card: ['D4', 'HJ']
community cards of this round: ['H6', 'SK', 'CJ', 'HA', 'H5']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
name: baseline1, hole_card: ['S3', 'C3']
name: b10902123, hole_card: ['SA', 'CT']
community cards of this round: ['D5', 'CA', 'D9', 'SQ', 'D3']
name: baseline1, hole_card: ['SK', 'C2']
name: b10902123, hole_card: ['C3', 'H8']
name: baseline1, hole_card: ['SK', 'C2']
name: b10902123, hole_card: ['C3', 'H8']
community cards of this round: ['H7', 'ST', 'C4', 'DT', 'D2']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902123, hole_card: ['C6', 'H5']
b10902123 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'aigupbykwsmrfqzyhawxew', 'stack': 1985.03125, 'state': 'participating'}, {'name': 'b10902123', 'uuid': 'yvylecynndtefefotpbyvi', 'stack': 13.375, 'state': 'participating'}]}
community cards of this round: ['C9', 'H2', 'SJ', 'C4', 'CA']
name: b10902123, hole_card: ['H3', 'D3']
name: baseline1, hole_card: ['DA', 'S6']
name: b10902123, hole_card: ['H3', 'D3']
name: baseline1, hole_card: ['DA', 'S6']
name: b10902123, hole_card: ['H3', 'D3']
name: baseline1, hole_card: ['DA', 'S6']
name: b10902123, hole_card: ['H3', 'D3']
name: baseline1, hole_card: ['DA', 'S6']
name: b10902123, hole_card: ['H3', 'D3']
name: baseline1, hole_card: ['DA', 'S6']
