community cards of this round: ['H8', 'S3', 'CA', 'D3', 'HQ']
name: b10902054, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['DT', 'C5']
name: b10902054, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['DT', 'C5']
name: b10902054, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['DT', 'C5']
name: b10902054, hole_card: ['C8', 'SK']
name: baseline1, hole_card: ['DT', 'C5']
name: b10902054, hole_card: ['C8', 'SK']
community cards of this round: ['DJ', 'S8', 'D2', 'H2', 'ST']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
name: baseline1, hole_card: ['SK', 'D6']
name: b10902054, hole_card: ['SA', 'C2']
community cards of this round: ['DQ', 'SQ', 'D9', 'C9', 'H3']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
name: baseline1, hole_card: ['SJ', 'S3']
name: b10902054, hole_card: ['HQ', 'H4']
b10902054 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'oshzgaikhjoojwfrjfpcmv', 'stack': 0, 'state': 'folded'}, {'name': 'b10902054', 'uuid': 'krjafmdwubthkrcsvfbiem', 'stack': 1996.0, 'state': 'participating'}]}
community cards of this round: ['H8', 'S3', 'CA', 'D3', 'HQ']
name: b10902054, hole_card: ['CK', 'C7']
name: baseline1, hole_card: ['DK', 'SA']
name: b10902054, hole_card: ['CK', 'C7']
name: baseline1, hole_card: ['DK', 'SA']
name: b10902054, hole_card: ['CK', 'C7']
name: baseline1, hole_card: ['DK', 'SA']
name: b10902054, hole_card: ['CK', 'C7']
name: baseline1, hole_card: ['DK', 'SA']
name: b10902054, hole_card: ['CK', 'C7']
name: baseline1, hole_card: ['DK', 'SA']
name: b10902054, hole_card: ['CK', 'C7']
name: baseline1, hole_card: ['DK', 'SA']
community cards of this round: ['CQ', 'DQ', 'S7', 'D3', 'SA']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
name: b10902054, hole_card: ['C2', 'CK']
name: baseline1, hole_card: ['HK', 'C5']
community cards of this round: ['ST', 'CK', 'H6', 'C5', 'S2']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
